snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,bittermandel/vpn/google/1.4.2,bittermandel,vpn,google,5324,False,https://github.com/bittermandel/terraform-google-vpn,2021-01-14T10:32:28.380146Z,1.4.2,A Terraform Module for setting up Google Cloud VPN
2026-07-13,kenju/monitoring-uptimecheck/google/0.1.1,kenju,monitoring-uptimecheck,google,5322,False,https://github.com/kenju/terraform-google-monitoring-uptimecheck,2020-09-03T03:54:09.67327Z,0.1.1,
2026-07-13,TaitoUnited/events/google/2.1.0,TaitoUnited,events,google,5320,False,https://github.com/TaitoUnited/terraform-google-events,2024-09-03T22:07:20.775766Z,2.1.0,
2026-07-13,franviera92/lb/google/2.3.1,franviera92,lb,google,5313,False,https://github.com/franviera92/terraform-google-lb,2020-07-28T22:50:01.75318Z,2.3.1,Modular Regional TCP Load Balancer for GCE using target pool and forwarding rule.
2026-07-13,TaitoUnited/storage/google/3.0.0,TaitoUnited,storage,google,5313,False,https://github.com/TaitoUnited/terraform-google-storage,2026-07-05T20:57:49.69551Z,3.0.0,
2026-07-13,TaitoUnited/databases/google/3.2.0,TaitoUnited,databases,google,5311,False,https://github.com/TaitoUnited/terraform-google-databases,2026-07-05T12:53:11.63544Z,3.2.0,
2026-07-13,TaitoUnited/monitoring/google/2.1.0,TaitoUnited,monitoring,google,5284,False,https://github.com/TaitoUnited/terraform-google-monitoring,2024-09-03T22:01:46.543409Z,2.1.0,
2026-07-13,garbetjie/internal-lb-container/google/3.1.0,garbetjie,internal-lb-container,google,5277,False,https://github.com/garbetjie/terraform-google-internal-lb-container,2020-11-12T13:13:48.971209Z,3.1.0,
2026-07-13,garbetjie/workers/google/2.0.1,garbetjie,workers,google,5270,False,https://github.com/garbetjie/terraform-google-worker-pool,2021-06-22T17:32:07.046243Z,2.0.1,Terraform module to easily create Docker-based background workers.
2026-07-13,TaitoUnited/dns/google/2.1.0,TaitoUnited,dns,google,5268,False,https://github.com/TaitoUnited/terraform-google-dns,2024-09-03T22:08:28.587299Z,2.1.0,
2026-07-13,franviera92/pubsub/google/1.6.2,franviera92,pubsub,google,5253,False,https://github.com/franviera92/terraform-google-pubsub,2020-12-18T16:41:26.423631Z,1.6.2,This module makes it easy to create Google Cloud Pub/Sub topic and subscriptions associated with the topic.
2026-07-13,garbetjie/worker-pool/google/2.0.1,garbetjie,worker-pool,google,5252,False,https://github.com/garbetjie/terraform-google-worker-pool,2021-06-22T17:32:07.042191Z,2.0.1,Terraform module to easily create Docker-based background workers.
2026-07-13,purbon/confluent-platform/google/0.1.0,purbon,confluent-platform,google,5235,False,https://github.com/purbon/terraform-google-confluent-platform,2020-08-03T17:40:34.867438Z,0.1.0,A Terraform module that can be used to setup Confluent Platform in the Google Cloud Platform
2026-07-13,binxio/network-nat/google/1.0.0,binxio,network-nat,google,5231,False,https://github.com/binxio/terraform-google-network-nat,2020-11-26T13:03:40.24661Z,1.0.0,Generic Google Nat Router module for Terraform 
2026-07-13,DNXLabs/stackdriver-uptime/google/0.0.4,DNXLabs,stackdriver-uptime,google,5223,False,https://github.com/DNXLabs/terraform-google-stackdriver-uptime,2020-08-18T00:51:23.170819Z,0.0.4,
2026-07-13,krazykid/static-website-bucket/google/0.9.3,krazykid,static-website-bucket,google,5216,False,https://github.com/krazykid/terraform-google-static-website-bucket,2020-10-15T01:32:19.692574Z,0.9.3,Terraform module to create a static public website on Google Cloud
2026-07-13,bootlabstech/network/google/1.0.0,bootlabstech,network,google,5212,False,https://github.com/bootlabstech/terraform-google-network,2022-02-22T08:12:51.984488Z,1.0.0,Terraform module for creating a network in GCP
2026-07-13,franviera92/kubernetes-engine/google/18.0.1,franviera92,kubernetes-engine,google,5204,False,https://github.com/franviera92/terraform-google-kubernetes-engine,2022-01-18T19:24:22.39928Z,18.0.1,A Terraform module for configuring GKE clusters.
2026-07-13,ZachT1711/project-factory/google/8.0.1,ZachT1711,project-factory,google,5187,False,https://github.com/ZachT1711/terraform-google-project-factory,2021-05-07T19:33:59.030948Z,8.0.1,"Opinionated Google Cloud Platform project creation and configuration with Shared VPC, IAM, APIs, etc."
2026-07-13,geekbass/gke/google/0.0.3,geekbass,gke,google,5185,False,https://github.com/geekbass/terraform-google-gke,2020-09-02T08:14:30.765735Z,0.0.3,Google Cloud Platform GKE Terraform Module (Kubing-the-Netes)
2026-07-13,r-teller/service-project-attach/google/1.2.3,r-teller,service-project-attach,google,5184,False,https://github.com/r-teller/terraform-google-service-project-attach,2024-09-20T15:02:54.603156Z,1.2.3,
2026-07-13,onetwopunch/gsa-encrypter/google/0.1.1,onetwopunch,gsa-encrypter,google,5182,False,https://github.com/onetwopunch/terraform-google-gsa-encrypter,2020-08-18T23:26:48.579544Z,0.1.1,
2026-07-13,binxio/redis/google/1.0.0,binxio,redis,google,5179,False,https://github.com/binxio/terraform-google-redis,2020-11-30T17:53:37.025736Z,1.0.0,Generic Google Redis module for Terraform
2026-07-13,simonknittel/video-transcoding/google/0.1.0,simonknittel,video-transcoding,google,5159,False,https://github.com/simonknittel/terraform-google-video-transcoding,2020-09-20T17:22:14.742831Z,0.1.0,Terraform Module to transcode and serve videos via Google Cloud services.
2026-07-13,binxio/cloudsql/google/2.0.0,binxio,cloudsql,google,5159,False,https://github.com/binxio/terraform-google-cloudsql,2021-06-28T09:22:07.257071Z,2.0.0,Generic Google CloudSQL module for Terraform
2026-07-13,vikramshinde12/storage-pubsub/google/1.0.1,vikramshinde12,storage-pubsub,google,5155,False,https://github.com/vikramshinde12/terraform-google-storage-pubsub,2020-11-11T07:05:40.315968Z,1.0.1,Terraform module to create Pub/Sub notifications for Cloud Storage
2026-07-13,uptycslabs/iam-config/google/1.1.0,uptycslabs,iam-config,google,5150,False,https://github.com/uptycslabs/terraform-google-iam-config,2023-10-27T15:43:20.868673Z,1.1.0,Terraform module for use with Uptycs GCP integration
2026-07-13,gatsbysghost/gke-helm-vault/google/0.2.1,gatsbysghost,gke-helm-vault,google,5147,False,https://github.com/scooberu/terraform-google-gke-helm-vault,2021-11-20T17:14:14.693025Z,0.2.1,Terraform module to generate a Hashicorp Vault cluster on GKE
2026-07-13,Any-DevOps-Solutions/gitlab-runner/google/0.0.16,Any-DevOps-Solutions,gitlab-runner,google,5137,False,https://github.com/Any-DevOps-Solutions/terraform-google-gitlab-runner,2021-02-17T17:38:08.206455Z,0.0.16,Terraform module for provisioning a GitLab CI Runner in a GCP project using the docker+machine executor.
2026-07-13,sameerkumarm/network/google/3.2.2,sameerkumarm,network,google,5132,False,https://github.com/sameerkumarm/terraform-google-network,2021-05-19T16:50:43.414613Z,3.2.2,A Terraform module that makes it easy to set up a new VPC Network in GCP.
2026-07-13,picatz/vault/google/0.0.10,picatz,vault,google,5128,False,https://github.com/picatz/terraform-google-vault,2023-11-12T17:27:25.907049Z,0.0.10,🔒 Terraform Module for Vault clusters on GCP
2026-07-13,janpreet/cluster-kubeconfig/google/1.0.0,janpreet,cluster-kubeconfig,google,5120,False,https://github.com/janpreet/terraform-google-cluster-kubeconfig,2020-12-05T16:54:46.815777Z,1.0.0,
2026-07-13,allyrr/gitlab-runner/google/0.0.6,allyrr,gitlab-runner,google,5115,False,https://github.com/allyrr/terraform-google-gitlab-runner,2021-04-08T13:50:28.239538Z,0.0.6,Terraform module for a dynamically configurable amount of GitLab runners in Google. Can use preemptible or regular on-demand VMs.
2026-07-13,abhilive/network/google/3.2.2,abhilive,network,google,5111,False,https://github.com/abhilive/terraform-google-network,2021-05-20T17:36:48.142724Z,3.2.2,A Terraform module that makes it easy to set up a new VPC Network in GCP.
