snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,avinor/log-analytics/azurerm/2.0.3,avinor,log-analytics,azurerm,8015,False,https://github.com/avinor/terraform-azurerm-log-analytics,2024-06-19T08:16:19.997989Z,2.0.3,Terraform module to deploy Log Analytics workspace with option to add solutions to it.
2026-07-13,cloudacademy/network/azurerm/2.0.3,cloudacademy,network,azurerm,7991,False,https://github.com/cloudacademy/terraform-azurerm-network,2021-11-19T06:01:51.321188Z,2.0.3,Terraform Azure RM Module for Network
2026-07-13,Azure/manageddisk/azurerm/1.0.0,Azure,manageddisk,azurerm,7983,False,https://github.com/Azure/terraform-azurerm-manageddisk,2018-08-27T00:46:34.731667Z,1.0.0,Terraform Azure RM Managed Disk Module 
2026-07-13,aztfm/virtual-network/azurerm/5.0.0,aztfm,virtual-network,azurerm,7968,False,https://github.com/aztfm/terraform-azurerm-virtual-network,2025-06-16T18:33:22.341839Z,5.0.0,
2026-07-13,avinor/kubernetes/azurerm/6.2.1,avinor,kubernetes,azurerm,7957,False,https://github.com/avinor/terraform-azurerm-kubernetes,2025-06-26T06:52:12.949443Z,6.2.1,"Terraform module to deploy a Kubernetes cluster on Azure, using AKS."
2026-07-13,aztfmod/caf-vm/azurerm/0.1.0,aztfmod,caf-vm,azurerm,7825,True,https://github.com/aztfmod/terraform-azurerm-caf-vm,2020-01-29T00:49:20.808566Z,0.1.0,Azure Virtual Machine module for Cloud Adoption Framework for Azure landing zones
2026-07-13,cloudacademy/network-security-group/azurerm/1.1.5,cloudacademy,network-security-group,azurerm,7787,False,https://github.com/cloudacademy/terraform-azurerm-network-security-group,2021-11-19T07:16:58.236326Z,1.1.5,Terraform module to create a network security group and assign it to the specified subnet
2026-07-13,claranet/aks/azurerm/7.9.1,claranet,aks,azurerm,7707,False,https://github.com/claranet/terraform-azurerm-aks,2024-04-19T09:44:23.366937Z,7.9.1,Terraform module composition (feature) for Azure Kubernetes Service
2026-07-13,Azure/avm-ptn-avd-lza-managementplane/azurerm/0.3.2,Azure,avm-ptn-avd-lza-managementplane,azurerm,7698,True,https://github.com/Azure/terraform-azurerm-avm-ptn-avd-lza-managementplane,2025-07-01T23:04:05.767028Z,0.3.2,Azure Virtual Desktop Landing Zone Accelerator Management Plane
2026-07-13,avinor/event-hubs/azurerm/3.0.2,avinor,event-hubs,azurerm,7696,False,https://github.com/avinor/terraform-azurerm-event-hubs,2024-03-12T14:42:44.896319Z,3.0.2,Terraform module to create an event namespace with hubs connected to it
2026-07-13,Azure/disk-snapshot/azurerm/0.1.0,Azure,disk-snapshot,azurerm,7622,False,https://github.com/Azure/terraform-azurerm-disk-snapshot,2018-10-09T23:27:20.238317Z,0.1.0,Module to snapshot all the specified managed disks. 
2026-07-13,Azure/aci/azurerm/1.0.0,Azure,aci,azurerm,7575,False,https://github.com/Azure/terraform-azurerm-aci,2018-10-12T16:47:49.555776Z,1.0.0,Azure Container Instances Module
2026-07-13,JamesDLD/Az-LoadBalancer/azurerm/0.2.1,JamesDLD,Az-LoadBalancer,azurerm,7466,False,https://github.com/JamesDLD/terraform-azurerm-Az-LoadBalancer,2022-11-13T12:50:08.505317Z,0.2.1,"Terraform module that manages Azure Load Balancers, rules and probes."
2026-07-13,avinor/policy/azurerm/5.1.2,avinor,policy,azurerm,7412,False,https://github.com/avinor/terraform-azurerm-policy,2024-03-12T12:58:50.62453Z,5.1.2,Terraform module to apply policies to a scopes.
2026-07-13,kumarvna/active-directory-forest/azurerm/2.1.0,kumarvna,active-directory-forest,azurerm,7304,False,https://github.com/kumarvna/terraform-azurerm-active-directory-forest,2021-06-07T15:49:35.144812Z,2.1.0,Terraform module to create an Azure Windows VM and promotes that VM to be a Domain Controller
2026-07-13,adfinis-forks/compute/azurerm/2.0.0,adfinis-forks,compute,azurerm,7271,False,https://github.com/adfinis-forks/terraform-azurerm-compute,2019-04-16T12:04:04.063163Z,2.0.0,Terraform Azure RM Compute Module
2026-07-13,metadevpro/sqlserver-seed/azurerm/1.0.0,metadevpro,sqlserver-seed,azurerm,7222,False,https://github.com/metadevpro/terraform-azurerm-sqlserver-seed,2017-10-27T17:48:27.120025Z,1.0.0,Terraform module for creating an Azure SQL Server Database and initialize it with a SQL script.
2026-07-13,JamesWoolfenden/vnet/azurerm/0.0.29,JamesWoolfenden,vnet,azurerm,7202,False,https://github.com/JamesWoolfenden/terraform-azurerm-vnet,2022-12-03T14:15:10.068953Z,0.0.29,Basic Network module
2026-07-13,aztfm/network-security-group/azurerm/2.0.0,aztfm,network-security-group,azurerm,7123,False,https://github.com/aztfm/terraform-azurerm-network-security-group,2024-01-15T21:53:33.268364Z,2.0.0,Terraform module for Microsoft Azure to manage Network Security Group resource.
2026-07-13,andrewCluey/windows-vm/azurerm/3.0.0,andrewCluey,windows-vm,azurerm,7109,False,https://github.com/andrewCluey/terraform-azurerm-windows-vm,2022-07-02T12:17:58.250515Z,3.0.0,Deploy a Windows Virtual Machine to Azure
2026-07-13,cpu601/hcs/azurerm/1.0.0,cpu601,hcs,azurerm,7104,False,https://github.com/cpu601/terraform-azurerm-hcs,2021-06-02T09:32:40.256491Z,1.0.0,Terraform module to deploy HashiCorp Consul Service (HCS) beta on Azure
2026-07-13,hmarcelodn/acsenginek8scluster/azurerm/1.0.3-beta.5,hmarcelodn,acsenginek8scluster,azurerm,6995,False,https://github.com/hmarcelodn/terraform-azurerm-acsenginek8scluster,2018-05-22T16:57:01.837831Z,1.0.3-beta.5,Terraform Module to Create Kubernetes cluster using acs-engine
