repo,tag,sha
terraform-aws-modules/terraform-aws-iam,v5.38.0,ec0484d1b816e660cb7cc7756c6e0465160aef7a
terraform-aws-modules/terraform-aws-iam,v5.37.2,f0a3a1cf8ba2f43f7919ba29593be3e9cadd363c
terraform-aws-modules/terraform-aws-iam,v5.37.1,5fd612cc1e5c749c4b01251eb05d173c00560af9
terraform-aws-modules/terraform-aws-iam,v5.37.0,d02232d0cd72ff358a419a6d5419aae6569fc1f4
terraform-aws-modules/terraform-aws-iam,v5.36.0,02d853d1441baad9c6bbbd925d75d1ff929ecca1
terraform-aws-modules/terraform-aws-iam,v5.35.0,ccb4f252cc340d85fd70a8a1fb1cae496a698c1f
terraform-aws-modules/terraform-aws-iam,v5.34.0,f37809108f86d8fbdf17f735df734bf4abe69315
terraform-aws-modules/terraform-aws-iam,v5.33.1,cbb39cb23a8182d3864b5d21e94bc289be8a17c5
terraform-aws-modules/terraform-aws-iam,v5.33.0,e63dff8de9f6aee7e9ebfbe8c676fa980f5233c0
terraform-aws-modules/terraform-aws-iam,v5.32.1,7825816ce6cb6a2838c0978b629868d24358f5aa
terraform-aws-modules/terraform-aws-iam,v5.32.0,91c8dbd25d9546d228c2c8030c1463f9b52c9b43
terraform-aws-modules/terraform-aws-iam,v5.31.0,0e7201fb7763117ff35fac82d1adef37c3b8ee76
terraform-aws-modules/terraform-aws-iam,v5.30.2,577b65ea9591e4c847124a465159fc3b4ef3d76b
terraform-aws-modules/terraform-aws-iam,v5.30.1,2488f3085beeab2c3abd347771ccc8800d7699ac
terraform-aws-modules/terraform-aws-iam,v5.30.0,856b5438e91dd87c1e9d225afd123769aaadb635
terraform-aws-modules/terraform-aws-iam,v5.29.2,cbc6dfa0991c51e8dae577e452e9b02949e6f852
terraform-aws-modules/terraform-aws-iam,v5.29.1,75d06594efa44db5e868f8e3a4a00ad8e1b8e974
terraform-aws-modules/terraform-aws-iam,v5.29.0,2ce2fd19f02e4cd897d68cc9c6378d7b6fed333c
terraform-aws-modules/terraform-aws-iam,v5.28.0,2eb955d1e9dcbb471ee1635e25e9c0db55df105a
terraform-aws-modules/terraform-aws-iam,v5.27.0,f18b333051f5e44828119aa04a3e6e89ae763ab8
terraform-aws-modules/terraform-aws-iam,v5.26.0,daa33d44d3f7b64af3ad8b2fe8222f910a6a534a
