snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,buildo/dockercomposehost/aws/1.8.0,buildo,dockercomposehost,aws,7580,False,https://github.com/buildo/terraform-aws-dockercomposehost,2021-05-11T14:07:47.013529Z,1.8.0,Terraform module for creating EC2 instances with Docker and Docker Compose installed
2026-07-13,btower-labz/btlabz-vpc-base/aws/1.0.0-000,btower-labz,btlabz-vpc-base,aws,7562,False,https://github.com/btower-labz/terraform-aws-btlabz-vpc-base,2021-10-10T00:08:47.630169Z,1.0.0-000,BTLabz AWS VPC parts: VPC base.
2026-07-13,infrablocks/bastion/aws/3.1.0-rc.6,infrablocks,bastion,aws,7547,False,https://github.com/infrablocks/terraform-aws-bastion,2026-07-10T15:18:40.652557Z,3.1.0-rc.6,
2026-07-13,npalm/ecs-service/aws/0.4.0,npalm,ecs-service,aws,7513,False,https://github.com/npalm/terraform-aws-ecs-service,2019-03-18T21:31:26.360371Z,0.4.0,Terraform module to create ECS / FARGATE services
2026-07-13,graymeta/platform/aws/0.2.6,graymeta,platform,aws,7454,False,https://github.com/graymeta/terraform-aws-platform,2022-10-13T12:52:24.944068Z,0.2.6,Terraform module for the deployment of the GrayMeta Platform into AWS. Contact GrayMeta for an enterprise license to gain access to the required AMIs.
2026-07-13,kurron/api-gateway-binding/aws/0.12.0,kurron,api-gateway-binding,aws,7437,False,https://github.com/kurron/terraform-aws-api-gateway-binding,2017-12-10T21:32:07.158857Z,0.12.0,Terraform module that attaches a proxy endpoint to an API Gateway
2026-07-13,Smartbrood/key-pair/aws/0.4.0,Smartbrood,key-pair,aws,7433,False,https://github.com/Smartbrood/terraform-aws-key-pair,2017-12-04T22:25:21.750071Z,0.4.0,Terraform module for importing a SSH public key file into AWS.
2026-07-13,plus3it/codecommit-flow-ci/aws/6.0.0,plus3it,codecommit-flow-ci,aws,7433,False,https://github.com/plus3it/terraform-aws-codecommit-flow-ci,2025-12-30T20:01:26.154294Z,6.0.0,Implement an event-based CI workflow on a CodeCommit repository
2026-07-13,QuiNovas/rds-postgres/aws/3.0.1,QuiNovas,rds-postgres,aws,7433,False,https://github.com/QuiNovas/terraform-aws-rds-postgres,2020-11-18T15:09:45.938275Z,3.0.1,Creates a PostgreSQL database instance in AWS RDS
2026-07-13,amancevice/group-sms/aws/0.5.0,amancevice,group-sms,aws,7414,False,https://github.com/amancevice/terraform-aws-group-sms,2020-10-28T14:59:26.570058Z,0.5.0,Send SMS messages to a group via AWS SNS
2026-07-13,kurron/api-gateway-deployment/aws/0.9.3,kurron,api-gateway-deployment,aws,7355,False,https://github.com/kurron/terraform-aws-api-gateway-deployment,2017-12-11T21:47:47.370256Z,0.9.3,Terraform module that attaches an integration and deployment to established API Gateway resource
2026-07-13,cloudposse/efs-backup/aws/0.9.0,cloudposse,efs-backup,aws,7353,False,https://github.com/cloudposse/terraform-aws-efs-backup,2019-05-07T20:35:19.947324Z,0.9.0,Terraform module designed to easily backup EFS filesystems to S3 using DataPipeline
2026-07-13,btower-labz/btlabz-nat-base/aws/1.0.0-002,btower-labz,btlabz-nat-base,aws,7353,False,https://github.com/btower-labz/terraform-aws-btlabz-nat-base,2021-10-10T12:36:42.103837Z,1.0.0-002,BTLabz AWS VPC parts: NAT
2026-07-13,nicholasjackson/hashicorp-suite/aws/0.2.3,nicholasjackson,hashicorp-suite,aws,7349,False,https://github.com/nicholasjackson/terraform-aws-hashicorp-suite,2019-02-14T17:51:49.079878Z,0.2.3,Terraform module for creating HashiCorp Nomad and Consul clusters
2026-07-13,Aplyca/cloudwatchlogs/aws/0.3.1,Aplyca,cloudwatchlogs,aws,7333,False,https://github.com/Aplyca/terraform-aws-cloudwatchlogs,2020-01-06T23:17:58.477303Z,0.3.1,Create AWS CloudWatch Logs resources
2026-07-13,kurron/alb-target-group/aws/0.9.0,kurron,alb-target-group,aws,7317,False,https://github.com/kurron/terraform-aws-alb-target-group,2017-10-29T15:11:48.24506Z,0.9.0,Terraform module that sets up a Target Group for an Application Load Balancer
2026-07-13,banks/ecs/aws/1.0.11,banks,ecs,aws,7314,False,https://github.com/banks/terraform-aws-ecs,2018-01-31T20:32:21.813906Z,1.0.11,Ignore this will be deleted soon
2026-07-13,QuiNovas/elasticache-redis/aws/3.0.0,QuiNovas,elasticache-redis,aws,7314,False,https://github.com/QuiNovas/terraform-aws-elasticache-redis,2019-07-05T07:50:23.483566Z,3.0.0,Creates a Redis cluster in AWS Elasticache
2026-07-13,deanwilson/github-ssh-keys/aws/0.2.0,deanwilson,github-ssh-keys,aws,7311,False,https://github.com/deanwilson/terraform-aws-github-ssh-keys,2017-11-23T09:17:00.903682Z,0.2.0,Use your GitHub SSH public key as an AWS EC2 key pair
2026-07-13,Smartbrood/route53-record/aws/0.4.0,Smartbrood,route53-record,aws,7304,False,https://github.com/Smartbrood/terraform-aws-route53-record,2018-05-28T10:54:46.502097Z,0.4.0,Terraform module to create one Route53 DNS record for existing zone.
2026-07-13,admintome/elk/aws/0.2.0,admintome,elk,aws,7297,False,https://github.com/admintome/terraform-aws-elk,2017-10-17T02:41:23.766074Z,0.2.0,"Terraform module to deploy an Elasticsearch, Logstash, and Kibana server to AWS."
2026-07-13,unruly/airflow/aws/0.1.5,unruly,airflow,aws,7289,False,https://github.com/unruly/terraform-aws-airflow,2019-02-14T16:02:12.649092Z,0.1.5,Terraform module for a PostgreSQL-backed Apache Airflow instance
2026-07-13,johnypony3/ec2-spot-instance/aws/1.0.8,johnypony3,ec2-spot-instance,aws,7285,False,https://github.com/johnypony3/terraform-aws-ec2-spot-instance,2017-11-01T11:56:32.500278Z,1.0.8,Terraform module which creates EC2 spot instance(s) on AWS
2026-07-13,zoitech/saml/aws/1.1.2,zoitech,saml,aws,7281,False,https://github.com/zoitech/terraform-aws-saml,2020-02-10T09:14:10.066108Z,1.1.2,Terraform module which creates AWS access via SAML.
2026-07-13,alvin-huang/datadog-integration/aws/1.1.0,alvin-huang,datadog-integration,aws,7275,False,https://github.com/alvin-huang/terraform-aws-datadog-integration,2018-03-05T22:08:38.137386Z,1.1.0,Terraform Module to set up the Datadog AWS Integration
2026-07-13,npalm/vpc/aws/1.2.0,npalm,vpc,aws,7275,False,https://github.com/npalm/terraform-aws-vpc,2018-04-22T10:14:45.197274Z,1.2.0,Terraform module for creating a VPC on AWS
2026-07-13,azavea/vpc/aws/7.0.0,azavea,vpc,aws,7272,False,https://github.com/azavea/terraform-aws-vpc,2022-09-21T17:21:19.280548Z,7.0.0,A Terraform module to create an Amazon Web Services (AWS) Virtual Private Cloud (VPC).
2026-07-13,influxdata/influxdb/aws/1.0.7,influxdata,influxdb,aws,7272,False,https://github.com/influxdata/terraform-aws-influxdb,2021-05-25T20:00:50.833Z,1.0.7,Deploys InfluxDB Enterprise to AWS
2026-07-13,kurron/cloudwatch-log/aws/0.9.0,kurron,cloudwatch-log,aws,7269,False,https://github.com/kurron/terraform-aws-cloudwatch-log,2017-10-29T15:12:59.470557Z,0.9.0,Terraform module that provides a simple CloudWatch Log setup
2026-07-13,kurron/alb-service-attachment/aws/0.9.1,kurron,alb-service-attachment,aws,7267,False,https://github.com/kurron/terraform-aws-alb-service-attachment,2017-11-17T16:18:17.149686Z,0.9.1,Terraform module that simplifies the process of adding a new port and backing EC2 instances to an ALB.
2026-07-13,azavea/postgresql-rds/aws/3.0.0,azavea,postgresql-rds,aws,7261,False,https://github.com/azavea/terraform-aws-postgresql-rds,2020-01-03T03:42:08.198759Z,3.0.0,A Terraform module to create an Amazon Web Services (AWS) PostgreSQL Relational Database Server (RDS).
